1,taramani,broadway
606,tambaram,kundrathur
607,poonamallee,pallavaram
608,pallavaram,poonamallee
609,tambaram,koyambedu market
610,koyambedu market,tambaram
611,thoraipakkam,cmbt
612,cmbt,thoraipakkam
613,kilkatalai,cmbt
614,cmbt,kilkatalai
615,kannaginagar,cmbt
616,cmbt,kannaginagar
617,sidco,broadway
618,broadway,sidco
619,pudur,broadway
620,broadway,pudur
621,broadway,senthilnagar
622,senthilnagar,broadway
623,menambedu,cmbt
624,cmbt,menambedu
625,koyambedu market,puzhal
626,puzhal,koyambedu market
627,karuku,cmbt
628,cmbt,karuku
629,madhanakuppam,koyambedu market
630,koyambedu market,madhanakuppam
631,cmbt,avadi
632,avadi,cmbt
633,poochaithipedu,koyambedu market
634,koyambedu market,poochaithipedu
635,veppampattu,cmbt
636,cmbt,veppampattu
637,broadway,korattur
638,korattur,broadway
639,padikuppam,broadway
640,broadway,padikuppam
641,saidapet west,thiruvanmiyur
642,thiruvanmiyur,saidapet west
643,padappai,tambaram
644,tambaram,padappai
645,saidapet,kundrathur
646,kundrathur,saidapet
647,thandalam,broadway
648,broadway,thandalam
649,nandambakkam,tnagar
650,tnagar,nandambakkam
651,kundrathur,saidapet west
652,saidapet west,kundrathur
653,periyarcolony,tnagar
654,tnagar,periyarcolony
655,broadway,somangalam
656,somangalam,broadway
657,high court,thiruvknagar
658,thiruvknagar,high court
659,tambaram,thiruvanmiyur
660,thiruvanmiyur,tambaram
661,kannaginagar,tambaram
662,tambaram,kannaginagar
665,shozhinganallur,tambaram
666,tambaram,shozhinganallur
667,adyar,tambaram
668,tambaram,adyar
669,agscolony,broadway
670,broadway,agscolony
671,thiruvanmiyur,central
672,central,thiruvanmiyur
673,nandambakkam,annasquare
674,annasquare,nandambakkam
675,devik eswari nagar,guindy estate
676,guindy estate,devik eswari nagar
677,thiruvotriyur,high court
678,high court,thiruvotriyur
679,velachery,thiruverkadu
680,thiruverkadu,velachery
681,velachery,ambathur estate
682,ambathur estate,velachery
683,pattabiram,guindy estate
684,guindy estate,pattabiram
685,kilkatalai,poonamallee
686,poonamallee,kilkatalai
687,mannivakkam,tambaram
688,tambaram,mannivakkam
689,nanganallur,thiruvanmiyur
690,thiruvanmiyur,nanganallur
691,thiruvanmiyur,tnagar
692,tnagar,thiruvanmiyur
693,kilkatalai,thiruvanmiyur
694,thiruvanmiyur,kilkatalai
695,kezhakaranai koot rd,tambaram
696,tambaram,kezhakaranai koot rd
699,tnagar,chemmenchery
700,chemmenchery,tnagar
701,nolambur nagar,tnagar
702,tnagar,nolambur nagar
705,central,nanganallur
706,nanganallur,central
707,mylapore,tambaram
708,tambaram,mylapore
709,guduvanchery,tambaram
710,tambaram,guduvanchery
711,vandaloor,thirusoolam
712,thirusoolam,vandaloor
713,kilkatalai,tnagar
714,tnagar,kilkatalai
715,guduvanchery,hasthinapuram
716,hasthinapuram,guduvanchery
717,guduvanchery,nanganallur
718,nanganallur,guduvanchery
719,kelambakkam,tnagar
720,tnagar,kelambakkam
721,kannaginagar,tnagar
722,tnagar,kannaginagar
723,thoraipakkam,tnagar
724,tnagar,thoraipakkam
725,chrompet,velachery
726,velachery,chrompet
727,kannaginagar,central
728,central,kannaginagar
729,cmbt,tnagar
730,tnagar,cmbt
731,annasquare,thiruvotriyur
732,thiruvotriyur,annasquare
735,madipakkam,vhouse
736,vhouse,madipakkam
739,pallavaram,kilkatalai
740,kilkatalai,pallavaram
741,shozhinganallur,tnagar
742,tnagar,shozhinganallur
743,saidapet,kelambakkam
744,kelambakkam,saidapet
747,pozhichalur,hasthinapuram
748,hasthinapuram,pozhichalur
749,guduvanchery,pozhichalur
750,pozhichalur,guduvanchery
751,kargil nagar,high court
752,high court,kargil nagar
755,nanganallur,koyambedu market
756,koyambedu market,nanganallur
757,thiruvanmiyur,cmbt
758,cmbt,thiruvanmiyur
759,vadapalani,kundrathur
760,kundrathur,vadapalani
761,iyappanthangal,kundrathur
762,kundrathur,iyappanthangal
763,nallur,koyambedu market
764,koyambedu market,nallur
765,amarambedu,broadway
766,broadway,amarambedu
767,somangalam,porur
768,porur,somangalam
769,iyappanthangal,amarambedu
770,amarambedu,iyappanthangal
771,agscolony,tnagar
772,tnagar,agscolony
773,nolambur nagar,velachery
774,velachery,nolambur nagar
775,j j nagar east,broadway
776,broadway,j j nagar east
777,j j nagar west,broadway
778,broadway,j j nagar west
779,kelambakkam,broadway
780,broadway,kelambakkam
781,thiruvanmiyur,siruchery it park
782,siruchery it park,thiruvanmiyur
783,kelambakkam,central
784,central,kelambakkam
785,kelambakkam,thiruvotriyur
786,thiruvotriyur,kelambakkam
787,kovalam,broadway
788,broadway,kovalam
789,thiruverkadu,tambaram
790,tambaram,thiruverkadu
791,red hills,guindy estate
792,guindy estate,red hills
793,padiyanallur,guindy estate
794,guindy estate,padiyanallur
795,vandaloor,red hills
796,red hills,vandaloor
797,padiyanallur,tambaram
798,tambaram,padiyanallur
799,padiyanallur,cmbt
800,cmbt,padiyanallur
801,ambathurestate,tnagar
802,tnagar,ambathurestate
803,thiruvallur,cmbt
804,cmbt,thiruvallur
805,cmbt,pandur
806,pandur,cmbt
807,cmbt,perambakkam
808,perambakkam,cmbt
809,thirunindravoor,tnagar
810,tnagar,thirunindravoor
811,iyappanthangal,tambaram
812,tambaram,iyappanthangal
813,vandaloor,madhavaram
814,madhavaram,vandaloor
815,kallikuppam,vandaloor
816,vandaloor,kallikuppam
817,k kanadasan nagar,vandaloor
818,vandaloor,k kanadasan nagar
821,tambaram,thiruvotriyur
822,thiruvotriyur,tambaram
823,thiruvanmiyur,ennore
824,ennore,thiruvanmiyur
825,velachery,thiruvotriyur
826,thiruvotriyur,velachery
827,thiruvotriyur,medavakkam
828,medavakkam,thiruvotriyur
829,ayanavaram,thiruvanmiyur
830,thiruvanmiyur,ayanavaram
831,egmore,injambakkam
832,injambakkam,egmore
833,velachery,villivakkam
834,villivakkam,velachery
835,red hills,broadway
836,broadway,red hills
837,vhouse,anna nagar
838,anna nagar,vhouse
839,vhouse,avadi
840,avadi,vhouse
841,poonamallee,annasquare
842,annasquare,poonamallee
843,tambaram,avadi
844,avadi,tambaram
845,j j nagar,annasquare
846,annasquare,j j nagar
849,j j nagar east,annasquare
850,annasquare,j j nagar east
851,thiruvanmiyur,mathurmmda
852,mathurmmda,thiruvanmiyur
853,foreshore estate,tollgate
854,tollgate,foreshore estate
855,annasquare,avadi
856,avadi,annasquare
857,annasquare,veppampattu nagar
858,veppampattu nagar,annasquare
859,avadi,mandaveli
860,mandaveli,avadi
861,thiruvanmiyur,icf
862,icf,thiruvanmiyur
863,kotturpuram,ambathur estate
864,ambathur estate,kotturpuram
865,avadi,thiruvanmiyur
866,thiruvanmiyur,avadi
867,mahendra city,broadway
868,broadway,mahendra city
869,tambaram,venbakkam
870,venbakkam,tambaram
871,poondi,vadapalani
872,vadapalani,poondi
873,periyapalayam,cmbt
874,cmbt,periyapalayam
875,enambakkam,cmbt
876,cmbt,enambakkam
877,tambaram,mamallapuram
878,mamallapuram,tambaram
879,vadanemili,pallavaram
880,pallavaram,vadanemili
881,thiruporur,pallavaram
882,pallavaram,thiruporur
883,thiruporur,tnagar
884,tnagar,thiruporur
885,thiruporur,adyar
886,adyar,thiruporur
887,ammapettai,adyar
888,adyar,ammapettai
889,thiruporur,broadway
890,broadway,thiruporur
891,sunguvarchathiram,vadapalani
892,vadapalani,sunguvarchathiram
893,arani,cmbt
894,cmbt,arani
895,pattabiram,ponneri
896,ponneri,pattabiram
897,kadambattur,vadapalani
898,vadapalani,kadambattur
899,thirumazhisai,broadway
900,broadway,thirumazhisai
901,sriperumbudur,broadway
902,broadway,sriperumbudur
903,sunguvarchathiram,thiruvanmiyur
904,thiruvanmiyur,sunguvarchathiram
905,poonamallee,mandaveli
906,mandaveli,poonamallee
907,sriperumbudur,poonamallee
908,poonamallee,sriperumbudur
909,sunguvarchathiram,tnagar
910,tnagar,sunguvarchathiram
911,sriperumbudur,puzhuthivakkam
912,puzhuthivakkam,sriperumbudur
913,thiruporur,tambaram
914,tambaram,thiruporur
915,gummudipoondi,high court
916,high court,gummudipoondi
917,ponneri,vallalar nagar
918,vallalar nagar,ponneri
919,pazhaverkadu,red hills
920,red hills,pazhaverkadu
921,avurivakkam,red hills
922,red hills,avurivakkam
923,sriperumbudur,red hills
924,red hills,sriperumbudur
925,poonamallee,ponneri
926,ponneri,poonamallee
927,periyapalayam,ambathur estate
928,ambathur estate,periyapalayam
929,sriperumbudur,pattabiram
930,pattabiram,sriperumbudur
931,sunguvarchathiram,avadi
932,avadi,sunguvarchathiram
933,thiruporur,kundrathur
934,kundrathur,thiruporur
935,thiruvallur,tambaram
936,tambaram,thiruvallur
937,pattur,kovalam
938,kovalam,pattur
939,mamallapuram,adyar
940,adyar,mamallapuram
941,kelambakkam,cmbt
942,cmbt,kelambakkam
943,thiruporur,cmbt
944,cmbt,thiruporur
945,siruchery it,cmbt
946,cmbt,siruchery it
947,thiruvallur,ambathur estate
948,ambathur estate,thiruvallur
949,sriperumbudur,kundrathur
950,kundrathur,sriperumbudur
951,elambakkam,kundrathur
952,kundrathur,elambakkam
953,walajabad,tambaram
954,tambaram,walajabad
955,avadi,arani
956,arani,avadi
957,periyapalayam,poonamallee
958,poonamallee,periyapalayam
959,vallakottai,tnagar
960,tnagar,vallakottai
961,sriperumbudur,tambaram
962,tambaram,sriperumbudur
963,sriperumbudur,thiruvallur
964,thiruvallur,sriperumbudur
965,vadapalani,perambakkam
966,perambakkam,vadapalani
967,poonamallee,perambakkam
968,perambakkam,poonamallee
969,thiruvallur,tnagar
970,tnagar,thiruvallur
971,mamallapuram,tnagar
972,tnagar,mamallapuram
973,poonamallee,red hills
974,red hills,poonamallee
975,thiruvanmiyur,tollgate
976,tollgate,thiruvanmiyur
977,vandaloor,avadi
978,avadi,vandaloor
979,madipakkam,ambathur estate
980,ambathur estate,madipakkam
981,anna nagar,thiruvanmiyur
982,thiruvanmiyur,anna nagar
983,tambaram,pattabiram
984,pattabiram,tambaram
985,veppampattu,tnagar
986,tnagar,veppampattu
987,cmbt,vandaloor
988,vandaloor,cmbt
989,broadway,thirunindravoor
990,thirunindravoor,broadway
991,thiruvanmiyur,vandaloor
992,vandaloor,thiruvanmiyur
993,shozhinganallur,thiruvanmiyur
994,thiruvanmiyur,shozhinganallur
995,vandaloor,broadway
996,broadway,vandaloor
997,thiruvanmiyur,royapuram
998,royapuram,thiruvanmiyur
999,tambaram,broadway
1000,broadway,tambaram
1001,padiyanallur,high court
1002,high court,padiyanallur
1003,velachery,ambathur estate
1004,ambathur estate,velachery
1005,guduvanchery,broadway
1006,broadway,guduvanchery
1007,guduvanchery,tnagar
1008,tnagar,guduvanchery
1009,maraimalai nagar,tnagar
1010,tnagar,maraimalai nagar
1011,guduvanchery,vadapalani
1012,vadapalani,guduvanchery
1013,saidapet,tambaram
1014,tambaram,saidapet
1015,balaji nagar,tambaram
1016,tambaram,balaji nagar
1017,prithyangara temple,tnagar
1018,tnagar,prithyangara temple
1021,nanganallur,annasquare
1022,annasquare,nanganallur
1023,kovalam,tambaram
1024,tambaram,kovalam
1025,thiruvanmiyur,guduvanchery
1026,guduvanchery,thiruvanmiyur
1027,thiruvanmiyur,t v k nagar
1028,t v k nagar,thiruvanmiyur
1029,madipakkam,broadway
1030,broadway,madipakkam
1031,chemmenchery,broadway
1032,broadway,chemmenchery
1033,kannaginagar,broadway
1034,broadway,kannaginagar
1035,ottiambakkam,broadway
1036,broadway,ottiambakkam
1037,perumbakkam,broadway
1038,broadway,perumbakkam
1039,thoraipakkam,broadway
1040,broadway,thoraipakkam
1041,siruchery it,tambaram
1042,tambaram,siruchery it
1043,kovalam,thiruvanmiyur
1044,thiruvanmiyur,kovalam
1045,tamarapakkam,cmbt
1046,cmbt,tamarapakkam
1047,oonamancheri,broadway
1048,broadway,oonamancheri
1049,shozhinganallur,velachery
1050,velachery,shozhinganallur
1051,siruchery it,guindy estate
1052,guindy estate,siruchery it
1053,mogappair,thiruvanmiyur
1054,thiruvanmiyur,mogappair
1055,tnagar,senthilnagar
1056,senthilnagar,tnagar
1057,venkatachalam,tnagar
1058,tnagar,venkatachalam
1059,vengaivasal,broadway
1060,broadway,vengaivasal
1061,hasthinapuram,broadway
1062,broadway,hasthinapuram
1063,thirumazhisai,cmbt
1064,cmbt,thirumazhisai
1065,vellavedu,cmbt
1066,cmbt,vellavedu
1067,vellavedu,saidapet
1068,saidapet,vellavedu
1069,pazhanthandalam,broadway
1070,broadway,pazhanthandalam
1071,tondiarpet,manali
1072,manali,tondiarpet
1073,cmbt,iyyappanthangal
1074,iyyappanthangal,cmbt
1075,tambaram,thiruvknagar
1076,thiruvknagar,tambaram
1077,manali,velachery
1078,velachery,manali
1079,kattrambakkam,tnagar
1080,tnagar,kattrambakkam
1081,thalambur,tnagar
1082,tnagar,thalambur
1083,guduvanchery,velachery
1084,velachery,guduvanchery
1085,thiruporur,central
1086,central,thiruporur
1087,annasquare,korattur
1088,korattur,annasquare
1089,puthagaram,vallalar nagar
1090,vallalar nagar,puthagaram
1091,tnagar,agaramthen
1092,agaramthen,tnagar
1093,annasquare,elangonagar
1094,elangonagar,annasquare
1095,thoraipakkam,perambur
1096,perambur,thoraipakkam
1097,periyar nagar,thiruvanmiyur
1098,thiruvanmiyur,periyar nagar
1099,thiruvotriyur,ambathur estate
1100,ambathur estate,thiruvotriyur
1101,annasquare,ambathur estate
1102,ambathur estate,annasquare
1103,echankaranai,tambaram
1104,tambaram,echankaranai
1105,chengalpet,velachery
1106,velachery,chengalpet
1107,chengalpet,tambaram
1108,tambaram,chengalpet
1109,thiruvallur,red hills
1110,red hills,thiruvallur
1111,periyapalayam,red hills
1112,red hills,periyapalayam
1113,madarapakkam,red hills
1114,red hills,madarapakkam
1115,kelambakkam,vandaloor
1116,vandaloor,kelambakkam
1117,alathur,tnagar
1118,tnagar,alathur
1119,adyar,koman nagar
1120,koman nagar,adyar
1121,ponmar,broadway
1122,broadway,ponmar
1123,manamathi,adyar
1124,adyar,manamathi
1125,perunthandalam,thiruvanmiyur
1126,thiruvanmiyur,perunthandalam
1127,karumbakkam,thiruvanmiyur
1128,thiruvanmiyur,karumbakkam
1129,broadway,moulivakkam
1130,moulivakkam,broadway
1131,agarammel,mandaveli
1132,mandaveli,agarammel
1133,vellavedu,broadway
1134,broadway,vellavedu
1135,vellavedu,velachery
1136,velachery,vellavedu
1137,t acaharavakkam,velachery
1138,velachery,t acaharavakkam
1139,kelambakkam,tambaram
1140,tambaram,kelambakkam
1141,guduvanchery,kelambakkam
1142,kelambakkam,guduvanchery
1143,padappai,kelambakkam
1144,kelambakkam,padappai
1145,kattupalli,thiruvotriyur
1146,thiruvotriyur,kattupalli
1147,annamalaichery,red hills
1148,red hills,annamalaichery
1149,kallur,red hills
1150,red hills,kallur
1151,minjur,red hills
1152,red hills,minjur
1153,puducherymedu,ponneri
1154,ponneri,puducherymedu
1155,perumbedukuppam,red hills
1156,red hills,perumbedukuppam
1157,melkottiyur,tambaram
1158,tambaram,melkottiyur
1159,thandalam,ambathur estate
1160,ambathur estate,thandalam
1161,thiruporur,velachery
1162,velachery,thiruporur
1163,athipattu,tollgate
1164,tollgate,athipattu
1165,thalambur,cmbt
1166,cmbt,thalambur
1167,thiruvallur,avadi
1168,avadi,thiruvallur
1169,kizhanoor,ambathur estate
1170,ambathur estate,kizhanoor
1171,sriperumbudur,vadapalani
1172,vadapalani,sriperumbudur
1173,broadway,padappai
1174,padappai,broadway
1175,velachery,padappai
1176,padappai,velachery
1177,malanthur,avadi
1178,avadi,malanthur
1179,bhondur,tambaram
1180,tambaram,bhondur
1181,uthukottai,red hills
1182,red hills,uthukottai
1183,vandaloor,korukkpet
1184,korukkpet,vandaloor
1185,shozhinganallur,kelambakkam
1186,kelambakkam,shozhinganallur
1187,manivakkam,velachery
1188,velachery,manivakkam
1189,pozhichalur,thiruvanmiyur
1190,thiruvanmiyur,pozhichalur
1191,guduvanchery,thoraipakkam
1192,thoraipakkam,guduvanchery
1193,kannam,thiruverkadu
1194,thiruverkadu,kannam
1195,tnagar,kancheepuram
1196,kancheepuram,tnagar
1197,broadway,anakaputhur
1198,anakaputhur,broadway
1199,tnagar,vellavedu
1200,vellavedu,tnagar
1201,gnanmoorthy nagar,cmbt
1202,cmbt,gnanmoorthy nagar
1203,ottiambakkam,cmbt
1204,cmbt,ottiambakkam
1205,tambaram,ambathur estate
1206,ambathur estate,tambaram
1207,kanniamman nagar,cmbt
1208,cmbt,kanniamman nagar
1209,oragadam,kilkatalai
1210,kilkatalai,oragadam
